"id","name","affiliation"
"1405671","B. Kagstr?om",""
"1406117","G. E. ?ien",""
"1407473","R. J?hnk",""
"1412614","Nadine Le?mann",""
"1413987","T. Joze?ak",""
"1418048","B M?oller",""
"1421115","Gerhard Gr?ger",""
"1421351","Eric Bakovi?","University of California, San Diego"
"1423481","César A. Mu?oz H",""
"1423621","Joseph J¨?j¨?",""
"1424490","Jean-fran?cois Boulicaut",""
"1431215","S?ren N. Lophaven",""
"1432647","E. Westk?mper",""
"1435877","Robert Gl?uck",""
"1436483","C. B?ackstr?om",""
"1437674","Adolfo Steiger-gar??o",""
"1443822","B. Sj?green",""
"1446300","J. Sch?ˉ? Oberl","University of Edinburgh , Scotland"
"1451072","Hans-martin H?rcher",""
"1454517","Alexandre R. J. Fran?ois",""
"1455176","Adnan Sulejmanpa?i?",""
"1456037","Fran?ois Rousselot",""
"1458927","Gabriela Guimar?es",""
"1460908","M. G. Maa?",""
"1463458","Daniel Barbar¨?",""
"1463808","Darmstadt ?",""
"1466458","O. Bas?bu Go Glu","Department of Computer Science; University of California"
"1469540","Radim S¨?ra",""
"1470329","Lourdes Fern¨?ndez",""
"1474014","K. F. B?hringer",""
"1474423","Marko H?nnik?inen",""
"1475346","Florentino Jiménez Mu?oz",""
"1475980","Antonio Gonz¨?lez",""
"1480205","T. B?rner","( BAE SYSTEMS Advanced Technology Centres, West Hanningfield Road, Great Baddow"
"1480850","Dan Tufis?",""
"1484036","Emil R?yrvik",""
"1486926","Manuel Valenzuela-rend¨?n",""
"1492630","M. Sj?lander",""
"1493394","N. K. S?rensen",""
"1494985","U. S?dermann",""
"1502629","J. Wigstr?m","PLAY: Applied research on art and technology"
"1506917","J. K?rne",""
"1512799","C. T. Schr?der",""
"1514162","L. ?grim",""
"1519495","Bernhard K?lmel",""
"1520749","F. S?rmo",""
"1521289","K. Sabelstr?m M?ller",""
"1521631","V. Jousm?ki",""
"1521740","M. Rautiai?nen",""
"1521911","Ricardo Jardim-gon?alves",""
"1529265","Henning Maa?",""
"1531538","Jos'e G. Casta?nos",""
"1531806","A. ?lnes",""
"1533658","Heinz W?rn",""
"1536960","Beno?t Champagne","INRS-T'el'ecommunications,"
"1538954","Pablo Gald¨?mez",""
"1542095","J. Ard?",""
"1543838","D. Roo?",""
"1548411","H?kan Hjalmarsson","Department of Electrical Engineering , Linkping University"
"1548841","M. G?rtner",""
"1551015","R. R?nnquist",""
"1557795","Zolt¨?n T¨?th",""
"1564517","R. P. S. O?donoghue",""
"1570550","Ingeborg S?lvberg",""
"1574939","Fran?ois Boulier","LIFL, Universit? Lille I, F-59655 Villeneuve d'Ascq Cedex"
"1579571","S. V?u Ngo. C",""
"1580917","S. Sj?holm",""
"1581631","Catalina M. Llad¨?",""
"1586022","S?ren Thing Andersen",""
"1589609","K. P. F?hnrich",""
"1589616","M. G. Mendon?a Neto","*Department of Poultry Science, The University of Georgia, Athens, Georgia 30602; and"
"1591870","Y. Gr?hn",""
"1592985","Asunci¨?n G¨?mez-p¨|rez",""
"1593039","J?rg Gasser","Univ . Bern"
"1598171","J. Hru?ka",""
"1601248","M. P?yh?nen","ISBN 951-22-4003-3,Helsinki University of Technology, ISSN 0782-2030,Systems Analysis Laboratory, Libella,Research Reports"
"1602406","Michael ?stergaard Pedersen",""
"1604563","David Str?mberg","Stockholm University"
"1608638","Sibylle B. Fr?schle",""
"1610471","J Big?un",""
