"id","name","affiliation","id","title","year","conferenceid","journalid","keyword"
"63713","S. J. Gill","","930283","A Rotating Cartesian-Diver Viscometer","1967","0","919",""
"63713","S GILL","","2224101","Pressure effect on deoxyribonucleic acid transition☆","1966","0","14078",""
"63713","Stephen J. Gill","Formative Evaluation Research Associates, Ann Arbor, Michigan","522198","A retrospective of “critical issues”","1985","0","18199",""
"63713","Steven J. Gill","Washington State University Ownbey Herbarium 99164-4309 Pullman WA","1539992","Morphologic and cytotaxonomic evaluation of Lomatium tuberosum (Apiaceae)","1985","0","8813",""
"63713","Stephen Joel Gill","School of Education, The University of Michigan, Ann Arbor","1058144","Antecedents to member participation within small groups: A review of theory and research","1984","0","18199",""
"111477","Walter I. Ackerman","Shane Family Professor of Education, and the Rector of Continuing Education, Ben‐Gurion University of the Negev","1215251","Religion in the schools of Eretz‐Yisrael, 1904–1914","1985","0","0",""
"128107","Galen Irwin","","1440229","Second-order or third-rate?","1995","0","10442",""
"128107","Galen A. Irwin","","1630970","Issue-consensus in a multi-party system: Voters and leaders in the Netherlands","1975","0","10055",""
"128107","G. A. Irwin","","2108377","Must the breaker pay? : cabinet crises and electoral trade-offs","1994","0","10055",""
"128107","Galen Irwin","","1081533","Notes on recent elections: the Dutch parliamentary election of 1982","1983","0","10442",""
"128107","GALEN IRWIN","","265970","Predicting Parliamentary Careers: A Quantitative Index Generated and Tested with Dutch Data*","1981","0","10496",""
"128107","G Irwin","","1782841","The Dutch parliamentary election of 1982","1983","0","10442",""
"128107","Galen A. Irwin","","1176151","Dutch government and politics","1993","0","11603",""
"128107","Galen A Irwin","","1231067","The Dutch parliamentary election of 1994","1995","0","10442",""
"128107","Galen Irwin","","1244444","The Dutch parliamentary election of May 1986","1986","0","10442",""
"128107","Galen A. Irwin","","2144031","Nomination Strategies in the Irish STV System: The Dail Elections of 1969, 1973 and 1977","1979","0","10242",""
"128107","Galen Irwin","","649930","Political Recruitment and Drop-Out: The Netherlands and the United States","1977","0","10242",""
"128107","Galen A. Irwin","Professor of Political Behaviour and Methods of Political Science, Leiden University","1393142","Appendix 1: Parties having achieved representation in parliament since 1946","1989","0","11603",""
"443722","Ondřej Schneider","","1180231","An Analysis of the Voluntary Pension Fund System in the Czech Republic","0","0","0",""
"443722","Ondrej Schneider","Institute of Economic Studies, Faculty of Social Sciences, Charles University, Prague, Czech Republic","587907","A Fiscal Rule that has Teeth: A Suggestion for a ‘Fiscal Sustainability Council’ underpinned by the Financial Markets","2005","0","0","fiscal policy, European Union, sustainability"
"443722","ONDREJ SCHNEIDER","","362378","THE HARMONIZATION OF PUBLIC PENSION SCHEMES - PERFECT AND IMPERFECT LABOUR MOBILITY CASES ","1996","0","0",""
"443722","Ondřej Schneider","Institute of Economic Studies, Faculty of Social Sciences, Charles University, Prague, Czech Republic","587907","A Fiscal Rule that has Teeth: A Suggestion for a ‘Fiscal Sustainability Council’ underpinned by the Financial Markets","2005","0","0","fiscal policy, European Union, sustainability"
"443722","Ondrej Schneider","London School of Economics and Political Science","915934","What are their Words Worth? Political Plans and Economic Pains of Fiscal Consolidations in New EU Member States","2006","0","4683","fiscal policy, new member states, consolidations, Stability and Growth Pact, excessive deficit procedure, convergence programmes"
"443722","Ondřej Schneider","","1086759","Fiscal Policy in New EU Member States: Go East, Prudent Man!","2006","0","4990",""
"443722","Ondřej Schneider","Institute of Economic Studies, Faculty of Social Sciences, Charles University, Prague, Czech Republic","915934","What are their Words Worth? Political Plans and Economic Pains of Fiscal Consolidations in New EU Member States","2006","0","4683","fiscal policy, new member states, consolidations, Stability and Growth Pact, excessive deficit procedure, convergence programmes"
"443722","O. Schneider","","1772951","E-Learning: A participant's point of view","2003","0","4613","Leerstoelgroep Aquacultuur en Visserij"
"536173","Tomas E Gallagher","Developmental Pediatrics, University of Hawaii at Manoa","1336294","TTC21B contributes both causal and modifying alleles across the ciliopathy spectrum","2011","0","7779",""
"1113777","Robert J. Mockler","","1954708","Best Practices Guidelines for Successfully Managing Application Service Providers &lpar;ASPs&rpar;","2005","0","10323",""
"1113777","Robert J. Mockler","St. John’s University","408050","Using the Arts to Acquire and Enhance Management Skills","2002","0","18070",""
"1113777","Robert J. Mockler","","380751","Stimulating Innovative ThinkingLearning How to Listen to What a Situation is Trying to Tell Us","2005","0","10323",""
"1152377","ROBERT KARASEK","","1617548","REDUCED VAGAL CARDIAC CONTROL VARIANCE IN EXHAUSTED AND HIGH STRAIN JOB SUBJECTS","2010","0","-1",""
"1275246","R. S. Geha","","802065","LPS-responsive beige-like anchor (LRBA) gene mutation in a family with inflammatory bowel disease and combined immunodeficiency","2012","0","-1",""
"1282472","G. Osborn","","353591","Boron Concentration Adjacent to Fertilizer Granules in Soil, and Its Effect on Root Growth1","1965","0","6176",""
"1282472","G. Osborn","","887167","Micronutrient Concentrations in Soil Solution After Ammonium Phosphate Applications1","1977","0","6176",""
"1282472","George Osborn","Gainesville Florida","447193","","1979","0","10126",""
"1282472","G. C. OSBORN","","1232745","United States","1983","0","10126",""
"1282472","George C. Osborn","Gainesville Florida","450189","","1981","0","10126",""
"1282472","G. OSBORN","","195860","STUDIES ON THE CHEMICAL FORM OF CADMIUM CONTAMINANTS IN PHOSPHATE FERTILIZERS: ","1982","0","6175",""
"1293254","E. D. Ditmars","","970613","Microwave and mechanical considerations in the design of MEM switches for aerospace applications","1997","0","0",""
"1326913","Thabet Maaraba (Abdeljawad)","Department of Mathematics and Computer Sciences, Faculty of Arts and Sciences, Çankaya University, 06530 Ankara, Turkey","1562228","Fractional variational principles with delay","2008","0","8483",""
"1357086","H. Pihko","","1539077","Mitochondrial phenylalanyl-tRNA synthetase mutations underlie fatal infantile Alpers encephalopathy","2012","0","-1",""
